"Source","Target","Type","Id","Label","Interval","Weight"
"ces","abr","undirected",7,7,"",3
"eri","ala","undirected",17,17,"",4
"fic","eri","undirected",28,28,"",2
"gai","eri","undirected",35,35,"",5
"lad","abr","undirected",56,56,"",4
"lad","ala","undirected",57,57,"",3
"lad","jea","undirected",66,66,"",2
"las","dor","undirected",72,72,"",2
"las","eri","undirected",73,73,"",4
"las","gai","undirected",75,75,"",0
"las","lad","undirected",78,78,"",4
"nem","abr","undirected",79,79,"",1
"nem","ber","undirected",82,82,"",2
"nem","fic","undirected",86,86,"",0
"nem","gai","undirected",87,87,"",2
"nem","las","undirected",91,91,"",2
"ner","dor","undirected",97,97,"",1
"ner","fic","undirected",99,99,"",1
"olg","abr","undirected",106,106,"",4
"olg","dor","undirected",111,111,"",0
"olg","jea","undirected",116,116,"",3
"olg","lad","undirected",117,117,"",3
"olg","ner","undirected",120,120,"",4
"oll","eri","undirected",127,127,"",2
"oll","gan","undirected",130,130,"",2
"oll","jea","undirected",131,131,"",3
"pac","eri","undirected",143,143,"",3
"pac","jea","undirected",147,147,"",1
"pac","oll","undirected",153,153,"",2
"pat","ber","undirected",157,157,"",2
"pat","dor","undirected",159,159,"",0
"pat","jea","undirected",164,164,"",3
"pat","ner","undirected",168,168,"",3
"pat","olg","undirected",169,169,"",0
"uly","eri","undirected",178,178,"",3
"uly","fic","undirected",179,179,"",2
"yin","ala","undirected",192,192,"",0
"yin","ber","undirected",194,194,"",3
"yin","oll","undirected",207,207,"",3
"yin","pac","undirected",208,208,"",3
"yoh","lad","undirected",222,222,"",3
"yoh","las","undirected",223,223,"",2
"yoh","olg","undirected",226,226,"",3
"yoh","pat","undirected",229,229,"",3
