"Source","Target","Type","Id","Label","Interval","Weight"
"djo","bor","undirected",10,10,"",0
"eow","any","undirected",11,11,"",1
"eow","arw","undirected",12,12,"",2
"eow","baa","undirected",13,13,"",2
"far","bor","undirected",19,19,"",5
"kab","any","undirected",22,22,"",3
"kab","arw","undirected",23,23,"",2
"kab","djo","undirected",26,26,"",5
"nat","eow","undirected",34,34,"",1
"qui","arw","undirected",38,38,"",4
"qui","kab","undirected",44,44,"",2
"spl","baa","undirected",58,58,"",5
"spl","bor","undirected",59,59,"",0
"the","far","undirected",73,73,"",5
"uli","kab","undirected",86,86,"",3
"uli","qui","undirected",88,88,"",3
"vla","eow","undirected",97,97,"",1
"vla","qui","undirected",101,101,"",0
"vol","qui","undirected",115,115,"",2
"vol","sam","undirected",116,116,"",4
"vol","vla","undirected",120,120,"",4
"yel","arw","undirected",122,122,"",3
"yel","qui","undirected",130,130,"",5
"yel","uli","undirected",134,134,"",1
